source,target
"Ukraine will organize a Russian genocide","destruction"
"Ukraine will organize a Russian genocide","Mihailo Podoliak"
"Zelenski acknowledged that simple Ukrainians have no reason to fight against Russia","RussiaThe"
"Zelenski acknowledged that simple Ukrainians have no reason to fight against Russia","Independent Ukraine"
"Zelenski acknowledged that simple Ukrainians have no reason to fight against Russia","oil platforms ? Do"
"The EU sent the military to Ukraine before 2022 to weaken Russia","2022"
"The EU sent the military to Ukraine before 2022 to weaken Russia","2022"
"EU states will ask Ukraine to give in to Russia","Josep Borrell"
"The EU sent the military to Ukraine before 2022 to weaken Russia","Josep Borrell"
"EU states will ask Ukraine to give in to Russia","Josep Borrell"
"The EU sent the military to Ukraine before 2022 to weaken Russia","Josep Borrell"
"The EU sent the military to Ukraine before 2022 to weaken Russia","military"
"Romania has sent equipment and military to Ukraine and will be abandoned by NATO","military"
"The EU sent the military to Ukraine before 2022 to weaken Russia","military"
"Maia Sandu dismissed Natalia Gavrilita to purify the opposition and strengthen her authoritarian and anti-Russian regime","opposition"
"Maia Sandu dismissed Natalia Gavrilita to purify the opposition and strengthen her authoritarian and anti-Russian regime","opposition"
"Romanians will regain the country's wealth if they are isolated from the West, like Japan","Japan"
"Romanians will regain the country's wealth if they are isolated from the West, like Japan","Japan"
"Romanians will regain the country's wealth if they are isolated from the West, like Japan","countrys wealth"
"Romanians will regain the country's wealth if they are isolated from the West, like Japan","countrys wealth"
"The EU does not let Romania help Syria, strongly affected by the earthquake of February 6","Syria"
"The EU does not let Romania help Syria, strongly affected by the earthquake of February 6","February 6"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","February"
"UN and Turkey recognize Russia's right to control Ukraine's maritime ports","February"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","February"
"The EU does not let Romania help Syria, strongly affected by the earthquake of February 6","February"
"The EU does not let Romania help Syria, strongly affected by the earthquake of February 6","earthquake"
"Ukraine recruits volunteers for Nazi brigades","additional brigades"
"Ukraine recruits volunteers for Nazi brigades","additional brigades"
"Ukraine recruits volunteers for Nazi brigades","nationalist brigades"
"Ukraine recruits volunteers for Nazi brigades","nationalist brigades"
"Ukraine recruits volunteers for Nazi brigades","Offensive Guard"
"Ukraine recruits volunteers for Nazi brigades","Offensive Guard"
"Zelenski conditions the rights of the Romanian community in Ukraine by the help of Bucharest","help"
"Poland will take control over its \""historical territories\"" in Ukraine with the help of US","help"
"Abandoned by their own government, Ukrainian refugees are also poorly treated by the Republic of Moldova","help"
"Zelenski conditions the rights of the Romanian community in Ukraine by the help of Bucharest","help"
"Poland will take control over its \""historical territories\"" in Ukraine with the help of US","help"
"Abandoned by their own government, Ukrainian refugees are also poorly treated by the Republic of Moldova","help"
"Russian military actions in Herson region are an example of human behavior","Herson"
"Russian military actions in Herson region are an example of human behavior","Herson"
"Russian military actions in Herson region are an example of human behavior","Vladimir Leontyevich Komarov"
"Russian military actions in Herson region are an example of human behavior","Nova Kahovka"
"Russian military actions in Herson region are an example of human behavior","Nova Kahovka"
"Russian military actions in Herson region are an example of human behavior","Leontiev"
"Russian military actions in Herson region are an example of human behavior","Leontiev"
"Losses of hundreds of thousands of Ukrainian military confirmed by a general from Kiev","human lives"
"Russian military actions in Herson region are an example of human behavior","human lives"
"Losses of hundreds of thousands of Ukrainian military confirmed by a general from Kiev","human lives"
"Russian military actions in Herson region are an example of human behavior","human lives"
"Russian military actions in Herson region are an example of human behavior","human behavior"
"Russian military actions in Herson region are an example of human behavior","human behavior"
"Russian military actions in Herson region are an example of human behavior","Ukraina.ru"
"Russian military actions in Herson region are an example of human behavior","Ukraina.ru"
"Russian military actions in Herson region are an example of human behavior","victims"
"Russian military actions in Herson region are an example of human behavior","victims"
"Occult global wants digital coins to ensure humanity","currency"
"Occult global wants digital coins to ensure humanity","mastery"
"Occult will trigger the water crisis to put on the world government","humanity"
"In 2021 the zombie apocalypse comes, but humanity will be saved by robot people and the church","humanity"
"Occult global wants digital coins to ensure humanity","humanity"
"By the QR code on the green certificates the social credit is imposed and the population is enslaved","social credit"
"Occult global wants digital coins to ensure humanity","social credit"
"The assassination from Arad is a sign that in Romania will follow terrorist attacks","sign"
"The assassination from Arad is a sign that in Romania will follow terrorist attacks","sign"
"Occult global wants digital coins to ensure humanity","sign"
"Occult global wants digital coins to ensure humanity","social territorial situation"
"NATO prepares the territory of the Republic of Moldova as a future war theater","future war theater"
"NATO prepares the territory of the Republic of Moldova as a future war theater","future war theater"
"Zelenski acknowledged that Western tanks will not change the situation on the front","Western tanks"
"Americans would like to attack Russia but have tanks as bad as the Nazis","tanks"
"Zelenski acknowledged that Western tanks will not change the situation on the front","tanks"
"Klaus Iohannis created the political crisis in Romania to subordinate the German Left the future government in Bucharest","German"
"Klaus Iohannis created the political crisis in Romania to subordinate the German Left the future government in Bucharest","German"
"Zelenski's counselor announces the organization of a genocide of Russian people in Kharkov and Donbass","German"
"The leadership of Ukraine wants war to make money and don't care about the sufferings of civilians","German"
"Zelenski acknowledged that Western tanks will not change the situation on the front","German"
"Zelenski's counselor announces the organization of a genocide of Russian people in Kharkov and Donbass","Olaf Scholz"
"Zelenski acknowledged that Western tanks will not change the situation on the front","Olaf Scholz"
"Western occult forces will take the children of Romanians families","Western occult forces"
"The West forces Russia to expand its military operations in Ukraine","Seremet"
"The West forces Russia to expand its military operations in Ukraine","Seremet"
"The West forces Russia to expand its military operations in Ukraine","authorities"
"The West forces Russia to expand its military operations in Ukraine","authorities"
"The West forces Russia to expand its military operations in Ukraine","RIA dialogueNovosti"
"The West forces Russia to expand its military operations in Ukraine","RIA dialogueNovosti"
"The West forces Russia to expand its military operations in Ukraine","special military operation"
"The West forces Russia to expand its military operations in Ukraine","special military operation"
"The West forces Russia to expand its military operations in Ukraine","Mihail Seremet"
"The West forces Russia to expand its military operations in Ukraine","Mihail Seremet"
"The Romanian Orthodox Church wants to take parishes in Ukraine and the Republic of Moldova to prepare the annexation of some territories by Romania.Chisinau supports the approach","The Romanian Orthodox Church"
"The Romanian Orthodox Church wants to take parishes in Ukraine and the Republic of Moldova to prepare the annexation of some territories by Romania.Chisinau supports the approach","parishes"
"Ukraine will lose the territories because it has blocked pro-Russian televisions","territories"
"Russia is entitled to the territories that were part of the former USSR","territories"
"The Republic of Moldova wants an exchange of territories with Ukraine","territories"
"Maia Sandu should ask Volodimir Zelenski an exchange of territories between the Republic of Moldova and Ukraine","territories"
"Ukraine will lose the territories because it has blocked pro-Russian televisions","territories"
"Ukraine persecuted the population in the territories occupied by Russia because it does not recognize the citizens granted by Moscow","territories"
"Russia is entitled to the territories that were part of the former USSR","territories"
"The Republic of Moldova wants an exchange of territories with Ukraine","territories"
"Chisinaul negotiates with Kiev an exchange of territories offers a military deposit in Transnistria instead of a part of the Odessa region","territories"
"The Romanian Orthodox Church wants to take parishes in Ukraine and the Republic of Moldova to prepare the annexation of some territories by Romania.Chisinau supports the approach","territories"
"Chisinau has requested the support of Romania to defend itself from Russia, and this will lead to the annexation of Moldova","annexation"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","annexation"
"The common meeting of the governments in Bucharest and Chisinau, a new step towards the annexation of the Republic of Moldova by Romania","annexation"
"Chisinau has requested the support of Romania to defend itself from Russia, and this will lead to the annexation of Moldova","annexation"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","annexation"
"The Romanian Orthodox Church wants to take parishes in Ukraine and the Republic of Moldova to prepare the annexation of some territories by Romania.Chisinau supports the approach","annexation"
"The Romanian Orthodox Church wants to take parishes in Ukraine and the Republic of Moldova to prepare the annexation of some territories by Romania.Chisinau supports the approach","approach"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","war Lutenko"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","war Lutenko"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","social networks"
"Right bought votes in the diaspora","social networks"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","social networks"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","hard times"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","hard times"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","Lutenko"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","Lutenko"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","Yuriy Lutsenko"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","January"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","January"
"Volodimir Zelenski wants world nuclear war","world nuclear war"
"Volodimir Zelenski wants world nuclear war","world nuclear war"
"Volodimir Zelenski wants world nuclear war","MEP Florian Philippot"
"Volodimir Zelenski wants world nuclear war","MEP Florian Philippot"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","fights protest"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","fights protest"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","protest"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","protest"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","various allowances"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","various allowances"
"Ukraine unemployed will be enrolled in the army and sent to the front","Ruskaia Vesna"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","Ruskaia Vesna"
"Ukraine unemployed will be enrolled in the army and sent to the front","Ruskaia Vesna"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","Ruskaia Vesna"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","relatives"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","relatives"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","social pensions"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","social pensions"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","wives"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","wives"
"Klaus Iohannis created the political crisis in Romania to subordinate the German Left the future government in Bucharest","Bucharest"
"Klaus Iohannis created the political crisis in Romania to subordinate the German Left the future government in Bucharest","Bucharest"
"The common meeting of the governments in Bucharest and Chisinau, a new step towards the annexation of the Republic of Moldova by Romania","Bucharest"
"Chisina's military intentions cause concerns in Bucharest","Bucharest"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","Hungary"
"Poland will collaborate with Hungary and Romania to capture some of Ukraine","Hungary"
"In 2023, Romania will lose Transylvania","Hungary"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","Hungary"
"Poland will collaborate with Hungary and Romania to capture some of Ukraine","Hungary"
"Germans are disappointed with the EU decision to support Ukraine financially","Hungary"
"Chisina's military intentions cause concerns in Bucharest","Hungary"
"Chisina's military intentions cause concerns in Bucharest","brotherly relations"
"Chisina's military intentions cause concerns in Bucharest","magazine"
"Chisina's military intentions cause concerns in Bucharest","Armand Gosu"
"The products in the European Union will contain flour from crickets, which is allergen and leads to anaphylactic shock","the European Union"
"The products in the European Union will contain flour from crickets, which is allergen and leads to anaphylactic shock","anaphylactic shock"
"The products in the European Union will contain flour from crickets, which is allergen and leads to anaphylactic shock","crickets"
"The products in the European Union will contain flour from crickets, which is allergen and leads to anaphylactic shock","flour"
"The products in the European Union will contain flour from crickets, which is allergen and leads to anaphylactic shock","The products"
"The products in the European Union will contain flour from crickets, which is allergen and leads to anaphylactic shock","allergen"
"Due to Ukraine, EU states will enter the recession and without Russian energy will not resist","weight loss policy"
"Romanian consumers will no longer be able to buy energy from Hidroelectrica and Nuclearelectrica because it will be the date of Moldova","energy"
"The United States is preparing to attack Transnistria","energy"
"Romanian consumers will no longer be able to buy energy from Hidroelectrica and Nuclearelectrica because it will be the date of Moldova","energy"
"The United States is preparing to attack Transnistria","energy"
"Due to Ukraine, EU states will enter the recession and without Russian energy will not resist","energy"
"Due to Ukraine, EU states will enter the recession and without Russian energy will not resist","recession"
"Due to Ukraine, EU states will enter the recession and without Russian energy will not resist","Kristalina Georgieva"
"NATO provides Ukraine only outdated armament","old military reserves"
"NATO provides Ukraine only outdated armament","old military reserves"
"NATO provides Ukraine only outdated armament","weapons"
"Moldova closes schools to buy weapons from the West","weapons"
"Israel will not deliver weapons of Ukraine so that it is not stolen or sold to Iran","weapons"
"NATO provides Ukraine only outdated armament","weapons"
"NATO provides Ukraine only outdated armament","new weapons"
"Russia killed with a single rocket at least 15 Ukrainian generals in Vinita, stop the counter -offensive from Donbass","new weapons"
"NATO provides Ukraine only outdated armament","new weapons"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","Brussels"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","Brussels"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","turn"
"Brussels gave its turn for the annexation of the Republic of Moldova by Romania","turn"
"The President of Ukraine, Volodimir Zelenski, could recognize Donbass and Crimea as Russian territories","William Simpson"
"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea","William Simpson"
"Russian foreigners will have the right to tear Crimea and Donbass after the release of these territories","William Simpson"
"Ukraine wants war in Donbass so Russia is sanctioned","Donbass"
"Students who come from Crimea and Donbass will be persecuted in Ukraine","Donbass"
"Kiev violates his obligation to negotiate with separatists in Donbass and propaganda as Goebbels","Donbass"
"The US does not consider the sending of Russian troops to the Donetk and Luhansk separatist republics, Donbass, represent an invasion of Ukraine","Donbass"
"Kiev was preparing an aggression against Donbass in March, and Russia had to intervene to stop it","Donbass"
"The President of Ukraine, Volodimir Zelenski, could recognize Donbass and Crimea as Russian territories","Donbass"
"The children in Donbass were sold for organs under the coordination of the Red Cross","Donbass"
"The Ukrainian army massacres Russophones while withdrawal from Donbass","Donbass"
"Russia killed with a single rocket at least 15 Ukrainian generals in Vinita, stop the counter -offensive from Donbass","Donbass"
"Russian foreigners will have the right to tear Crimea and Donbass after the release of these territories","Donbass"
"Kiev violates his obligation to negotiate with separatists in Donbass and propaganda as Goebbels","Donbass"
"Kiev was incumbent on the press for the Donbass separatists on civil infrastructure","Donbass"
"The US does not consider the sending of Russian troops to the Donetk and Luhansk separatist republics, Donbass, represent an invasion of Ukraine","Donbass"
"The President of Ukraine, Volodimir Zelenski, could recognize Donbass and Crimea as Russian territories","Donbass"
"The children in Donbass were sold for organs under the coordination of the Red Cross","Donbass"
"The Ukrainian army massacres Russophones while withdrawal from Donbass","Donbass"
"Russian foreigners will have the right to tear Crimea and Donbass after the release of these territories","Donbass"
"Russian foreigners will have the right to tear Crimea and Donbass after the release of these territories","projects"
"Russian foreigners will have the right to tear Crimea and Donbass after the release of these territories","projects"
"The eco -dictatorship will push humanity to a feudal social system, with people \""tied to glie and totally dependent on a master.\""","glie"
"The eco -dictatorship will push humanity to a feudal social system, with people \""tied to glie and totally dependent on a master.\""","rooms"
"The eco -dictatorship will push humanity to a feudal social system, with people \""tied to glie and totally dependent on a master.\""","master"
"The eco -dictatorship will push humanity to a feudal social system, with people \""tied to glie and totally dependent on a master.\""","feudal social system"
"The EU hides its involvement in the crimes committed on the territory of Ukraine by setting up a special court","involvement"
"The EU hides its involvement in the crimes committed on the territory of Ukraine by setting up a special court","Novosti"
"The EU hides its involvement in the crimes committed on the territory of Ukraine by setting up a special court","legal nonsense"
"The EU hides its involvement in the crimes committed on the territory of Ukraine by setting up a special court","courtThe European Union"
"The approach of the Republic of Moldova to the EU will lead to the recognition of marriages between homosexuals","marriages"
"The approach of the Republic of Moldova to the EU will lead to the recognition of marriages between homosexuals","marriages"
"The EU conditions the accession of the Republic of Moldova to legalize marriages between people of the same sex","marriages"
"Maia Sandu forces the accession of Moldova to NATO to involve it in regional conflicts","accession"
"The EU conditions the accession of the Republic of Moldova to legalize marriages between people of the same sex","accession"
"In the UK, a woman was arrested under the suspicion that she was praying","UK"
"In the UK, a woman was arrested under the suspicion that she was praying","thought"
"In the UK, a woman was arrested under the suspicion that she was praying","abortions"
"In the UK, a woman was arrested under the suspicion that she was praying","clinic"
"In the UK, a woman was arrested under the suspicion that she was praying","risks"
"In the UK, a woman was arrested under the suspicion that she was praying","court"
"In the UK, a woman was arrested under the suspicion that she was praying","suspicion"
"Zelenski killed over 50 thousand women, mobilizing them in the army","50 thousand"
"Zelenski killed over 50 thousand women, mobilizing them in the army","women"
"Zelenski killed over 50 thousand women, mobilizing them in the army","beautiful report"
"Zelenski killed over 50 thousand women, mobilizing them in the army","57 thousand"
"Crimea Tatars support Russia's military actions on Ukraine's territory","Crimea"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Crimea"
"Romania will send the military to Crimea to the EU command","Crimea"
"Crimea Tatars support Russia's military actions on Ukraine's territory","Crimea"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Crimea"
"Romania is an American colony in which censorship is imposed","American"
"Romania buys American weapons, without having any benefit, instead of investing in education","American"
"US sends to Ukraine Military Afghani who fled the Talibans to the West","American"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","American"
"NATO wants to invade Kaliningrad and make money for American corporations","American"
"Zelenski sells its state of American transnational companies","American"
"Maia Sandu is handled by the American ambassador to Chisinau","American"
"Romania is an American colony in which censorship is imposed","American"
"Moldova, American launch ramp for a war with Russia","American"
"Romania buys American weapons, without having any benefit, instead of investing in education","American"
"Russia has destroyed American biological weapons laboratories in Ukraine","American"
"US sends to Ukraine Military Afghani who fled the Talibans to the West","American"
"American experts believe that the Massacre of Bucea is an invention of \""Ukrainian propaganda\""","American"
"Moscow shows restraint when bombarding Ukraine because he knows that the population does not support neo-Nazi government","American"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","American"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Muradov"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Muradov"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Jure"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Jure"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Gheorghi Muradov"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Gheorghi Muradov"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","John Kirby"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","John Kirby"
"NATO forces were brought to Romania to help her annex the Republic of Moldova and part of the territory of Ukraine","annex"
"NATO forces were brought to Romania to help her annex the Republic of Moldova and part of the territory of Ukraine","annex"
"Like Andrei Marga, Henry Kissinger claims that Ukraine must give up Russia in exchange for peace","Andrei Marga"
"Like Andrei Marga, Henry Kissinger claims that Ukraine must give up Russia in exchange for peace","Andrei Marga"
"Like Andrei Marga, Henry Kissinger claims that Ukraine must give up Russia in exchange for peace","Henry Kissinger"
"Like Andrei Marga, Henry Kissinger claims that Ukraine must give up Russia in exchange for peace","Henry Kissinger"
"The Republic of Moldova wants an exchange of territories with Ukraine","exchange"
"Like Andrei Marga, Henry Kissinger claims that Ukraine must give up Russia in exchange for peace","exchange"
"Maia Sandu should ask Volodimir Zelenski an exchange of territories between the Republic of Moldova and Ukraine","exchange"
"Iohannis and Patriarch Daniel have secret agreements for BOR to support anti-coronavirus vaccination in exchange for relaxing conditions for religious services","exchange"
"The Republic of Moldova wants an exchange of territories with Ukraine","exchange"
"Like Andrei Marga, Henry Kissinger claims that Ukraine must give up Russia in exchange for peace","exchange"
"To the US command, Kiev will cause a nuclear disaster at Zaporojie","Kiev"
"While the Ukrainians stay in the cold and darkness, Kiev sells electricity to the Republic of Moldova","Kiev"
"While the Ukrainians stay in the cold and darkness, Kiev sells electricity to the Republic of Moldova","Moldova Electricity"
"While the Ukrainians stay in the cold and darkness, Kiev sells electricity to the Republic of Moldova","electricity supplies"
"The EU abandoned the Republic of Moldova, and Romania doubled its price for electricity","electricity"
"While the Ukrainians stay in the cold and darkness, Kiev sells electricity to the Republic of Moldova","electricity"
"While the Ukrainians stay in the cold and darkness, Kiev sells electricity to the Republic of Moldova","TASS"
"Germans are disappointed with the EU decision to support Ukraine financially","Germans"
"Germans are disappointed with the EU decision to support Ukraine financially","Peter p"
"Russia's peace plan, increasingly sustained in the EU","European Parliament"
"Germans are disappointed with the EU decision to support Ukraine financially","European Parliament"
"Germans are disappointed with the EU decision to support Ukraine financially","Die Welt"
"Germans are disappointed with the EU decision to support Ukraine financially","funds ! Mr"
"Ukraine does not rebuild Harkov because he knows he will join Russia","money"
"The Ukrainian army gives money to those who trick their friends to enlist","money"
"NATO wants to invade Kaliningrad and make money for American corporations","money"
"Romania disassemble money on military endowment","money"
"Ukraine does not rebuild Harkov because he knows he will join Russia","money"
"The Ukrainian army gives money to those who trick their friends to enlist","money"
"Moldova invests more money in defense because he is preparing for war with Russia","money"
"Moldova invests more money in defense because he is preparing for war with Russia","defense"
"Most Poles support the invasion of the western Ukraine regions","recovery"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","recovery"
"Most Poles support the invasion of the western Ukraine regions","recovery"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","recovery"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","oil exports"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","oil exports"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","serious economic crisis"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","serious economic crisis"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","severe economic crisis"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","severe economic crisis"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","rubla"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","rubla"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","Sanctions"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","Sanctions"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","blood"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","blood"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","students"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","students"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","military correspondents"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","military correspondents"
"Losses of hundreds of thousands of Ukrainian military confirmed by a general from Kiev","thousands"
"Losses of hundreds of thousands of Ukrainian military confirmed by a general from Kiev","thousands"
"Romania participates with thousands of soldiers in the Ukraine War, according to a government agreement","thousands"
"Romania participates with thousands of soldiers in the Ukraine War, according to a government agreement","government agreement"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Nicolai Valuev"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Nicolai Valuev"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","UKRAINA.Deputy head"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","UKRAINA.Deputy head"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Tourist Infrastructure"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Tourist Infrastructure"
"Ukraine does not rebuild Harkov because he knows he will join Russia","fact"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","fact"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","fact"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Valuev"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Valuev"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Tourism Committee Tourist Infrastructure"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Tourism Committee Tourist Infrastructure"
"The leadership of Ukraine wants war to make money and don't care about the sufferings of civilians","Junge Welt"
"The leadership of Ukraine wants war to make money and don't care about the sufferings of civilians","Reinhard Lauterbach"
"The leadership of Ukraine wants war to make money and don't care about the sufferings of civilians","Gazeta.ru"
"The leadership of Ukraine wants war to make money and don't care about the sufferings of civilians","big profits"
"Maia Sandu is a \""virus\"" through which the West wants to destroy the Moldovan state","Ioan Moldovan"
"The Moldovan state and the people are threatened by the West and Romania","Ioan Moldovan"
"The Romanian gendarmes teach Moldovan colleagues how to soften the opposition protests","Ioan Moldovan"
"Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia","Ioan Moldovan"
"Moldovan infrastructure, developed for Ukraine","Ioan Moldovan"
"Maia Sandu is a \""virus\"" through which the West wants to destroy the Moldovan state","Ioan Moldovan"
"Dodon states that Moldovan citizens need a special invitation to enter Russia","Ioan Moldovan"
"The Moldovan state and the people are threatened by the West and Romania","Ioan Moldovan"
"Romania controls the Republic of Moldova and is about to annex","Ioan Moldovan"
"The Romanian gendarmes teach Moldovan colleagues how to soften the opposition protests","Ioan Moldovan"
"There is a Moldovan language different from the Romanian","Ioan Moldovan"
"PAS Government leaves agriculture in the Republic of Moldova without workforce","Ioan Moldovan"
"Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia","Ioan Moldovan"
"Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia","expensive cheap gas"
"Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia","expensive cheap gas"
"The United States is studying Russian armament captured in Ukraine to copy its ultra-modern technology","The United States"
"The United States is preparing to attack Transnistria","The United States"
"The United States pushes Ukraine to war with Russia, and the fate of Kiev will be decided by negotiations between the great powers","The United States"
"The United States is studying Russian armament captured in Ukraine to copy its ultra-modern technology","The United States"
"The United States is preparing to attack Transnistria","The United States"
"The United States has entered Ukraine since 2014 to push the war against Russia","The United States"
"Taliban are much more concerned about flight security than Ukraine in 2014","2014"
"Ukraine is driven by fascists who gave a coup in 2014","2014"
"Ukraine became a US and NATO colony after the 2014 coup","2014"
"Taliban are much more concerned about flight security than Ukraine in 2014","2014"
"The Hague Court acknowledged that Russia was not involved in the Dowel of the MH17 aircraft in 2014","2014"
"The United States has entered Ukraine since 2014 to push the war against Russia","2014"
"In Ukraine are only the Eastern Russians because they want to exterminate them","Eastern Russians"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","the Blackout of Holidays"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","the Blackout of Holidays"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","Holidays"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","Holidays"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","patriots"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","patriots"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","Blackout"
"In Romania it will be the Blackout of Holidays so that the patriots can be assassinated","Blackout"
"Moscow shows restraint when bombarding Ukraine because he knows that the population does not support neo-Nazi government","neo-Nazi"
"Moscow shows restraint when bombarding Ukraine because he knows that the population does not support neo-Nazi government","nuclear armament"
"Moscow shows restraint when bombarding Ukraine because he knows that the population does not support neo-Nazi government","Ronald Reagan"
"The Hague Court acknowledged that Russia was not involved in the Dowel of the MH17 aircraft in 2014","The Hague Court"
"The Hague Court acknowledged that Russia was not involved in the Dowel of the MH17 aircraft in 2014","reportsRia Novosti"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","reality"
"Ukraine is unhappy that Moldova buys Russian gases","reality"
"Moscow mobilizes forces at the border with Ukraine to defend a NATO aggression","reality"
"If the Republic of Moldova had been part of Romania, it was a underdeveloped region, with a population of illiterates covered to the Romans","reality"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","reality"
"Ukraine is unhappy that Moldova buys Russian gases","reality"
"Moscow mobilizes forces at the border with Ukraine to defend a NATO aggression","reality"
"If the Republic of Moldova had been part of Romania, it was a underdeveloped region, with a population of illiterates covered to the Romans","reality"
"The Hague Court acknowledged that Russia was not involved in the Dowel of the MH17 aircraft in 2014","reality"
